,Location Names,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,Column1,Column2,Missing Addresses
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,0,0,35,37,21,0,110.5,0,0,203.5,78,0,
SBCS,South Bend Community Schools: Edison,SJ,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
SBCS,South Bend Community Schools: Clay Intermediate,SJ,0,0,Backpack,0,0,0,0,0,0,0,525,420,525,78,0,
SBCS,South Bend Community Schools: Harrison,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
SBCS,South Bend Community Schools: Wilson,SJ,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
MHA,Miami Hills Apartments,SJ,0,0,CCFN,30,0,0,0,14,0,18,0,0,62,78,0,
MTS,Marshall Traditional School,SJ,0,0,Backpack,0,0,0,0,0,0,0,315,252,315,78,0,
SBCS,South Bend Community Schools: Edison,SJ,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
RMH,Ronald Mcdonald House,SJ,0,0,Backpack,0,0,0,0,0,0,0,350,280,350,78,0,
RL,Resurrection Lutheran,SJ,0,0,CCFN,0,0,0,0,0,0,0,52.5,42,52.5,78,0,
CLAY,Clay Church Food Pantry,SJ,0,0,CCFN,0,0,0,0,0,0,144,562.5,450,706.5,78,0,
CM,Camp Millhouse,SJ,0,0,CCFN,0,25,84,0,0,0,349.7,0,0,458.7,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,37.8,25,0,66,0,95.5,156.3,30,24,410.6,78,0,"911 California Ave, South Bend, IN 46616"
PMBC,Progressive Missionary Baptist Church,SJ,0,0,CCFN,0,0,0,0,12,0,54,0,0,66,78,0,"1232 E Bronson St, South Bend, IN 46615"
STVINC,St. Vincent de Paul - St. Thomas,ELK,0,0,CCFN,194.5,0,0,74,0,60,48,0,0,376.5,78,0,
CTAC,Christ Temple Apostolic,SJ,0,0,CCFN,0,0,0,55,0,175.5,335.5,150,120,716,78,0,"2307 Elwood Ave, South Bend, IN 46628"
CMYC,Charles Martin Youth Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,
LS,Legacy Steps,SJ,0,0,CCFN,7.8,0,0,0,0,0,210,15,12,232.8,78,0,
OSH,Oak Street Health,SJ,0,0,CCFN,0,25,0,0,0,0,48,37.5,30,110.5,78,0,
ORC,Oaklawn: Recovery Cafe,SJ,0,0,CCFN,24,0,0,0,0,23,51,30,24,128,78,0,
LFD,Lakeville Fire Department,SJ,0,0,CCFN,250,0,0,0,0,0,0,0,0,250,78,0,"117 S Main St, Lakeville, IN 46536"
DFI,"Davis Foundation, Inc.",SJ,0,0,CCFN,0,3,7,174,18,0,654,0,0,856,78,0,
MCNC,Marshall County Neighborhood Center,MAR,0,0,CCFN,0,0,0,0,280,0,0,0,0,280,78,0,
KKH,Karl King Riverbend Tower,SJ,0,0,CCFN,118.5,70,0,0,0,69,912,150,120,1319.5,78,0,
DC,David's Courage,SJ,0,0,CCFN,0,0,0,0,14,0,0,0,0,14,78,0,
BOHSJ,Brick of Hope Ministry,SJ,0,0,CCFN,54,50,0,0,27,69,443.5,75,60,718.5,78,0,
MOFHM,Monastery of the Holy Martyrs,SJ,0,0,CCFN,100,12,4,205,49,402,398,150,120,1320,78,0,
CFP,Culver Food Pantry,MAR,0,0,CCFN,0,0,0,0,70,0,0,0,0,70,78,0,
CHS,Culver Community Middle/High School,MAR,0,0,Backpack,0,0,0,0,0,0,0,105,84,105,78,0,
SPBMBC,St Paul Bethel Baptist Church,SJ,0,0,CCFN,118,0,0,0,0,0,131,0,0,249,78,0,
AFFM,Abundant Faith Family Ministries,SJ,0,0,CCFN,0,50,0,80.5,17,84,179.8,37.5,30,448.8,78,0,
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,0,80,0,3.7,0,0,464.5,0,0,548.2,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,37.5,25,0,17.6,0,101.4,252.7,0,0,434.2,78,0,"911 California Ave, South Bend, IN 46616"
GNJMBC,Greater New Jerusalem Missionary Baptist Church,SJ,0,0,CCFN,46,40,41,261.4,51,111,432,0,0,982.4,78,0,
MCCC,Marshall County Community Center,MAR,0,0,CCFN,0,0,0,0,0,17.2,628.7,0,0,645.9,78,0,
OLOTR,Our Lady of the Road,SJ,0,0,CCFN,101,0,0,82.7,0,95,332.5,112.5,90,723.7,78,0,
CE,Culver Elementary School,MAR,0,0,Backpack,0,0,0,0,0,0,0,135,108,135,78,0,
KBI,Kingdom Business International,SJ,0,0,CCFN,94.5,0,42,0,0,12,122,48.75,39,319.25,78,0,"907 Sprucewood Ln, South Bend, IN 46637"
CTAC,Christ Temple Apostolic,SJ,0,0,CCFN,0,0,0,0,0,0,446,0,0,446,78,0,"2307 Elwood Ave, South Bend, IN 46628"
AMBC,Antioch Missionary Baptist Church,SJ,0,0,CCFN,0,0,0,0,0,34.5,58,0,0,92.5,78,0,"1533 W Ewing Ave, South Bend, IN 46613"
ORC,Oaklawn: Recovery Cafe,SJ,0,0,CCFN,0,0,0,0,0,0,137,0,0,137,78,0,
NCCFP,New Carlisle Community -Food Pantry,SJ,0,0,CCFN,0,0,0,0,84,0,0,0,0,84,78,0,
MOFHM,Monastery of the Holy Martyrs,SJ,0,0,CCFN,0,0,0,0,168,0,0,0,0,168,78,0,
BCP,Broadway Christian Parish Church,SJ,0,0,CCFN,0,0,0,0,168,0,0,0,0,168,78,0,
BOL,Bread of Life,MAR,0,0,CCFN,0,0,0,0,420,0,0,0,0,420,78,0,"6770 N Michigan St, Plymouth, IN 46563"
RA,Robertsons Apartments,SJ,0,0,CCFN,23,0,39,398,28,447,1920.4,60,48,2915.4,78,0,"211 S Michigan St, South Bend, IN 46601"
IUPFP,Ironwood United Pentecostal Food Pantry,SJ,0,0,CCFN,0,0,0,0,42,0,0,0,0,42,78,0,
MFP,Mishawaka Food Pantry,SJ,0,0,CCFN,0,0,0,145,0,0,0,150,120,295,78,0,
NOD,Nappanee Open Door,ELK,0,0,CCFN,100,0,0,0,0,0,143.25,37.5,30,280.75,78,0,
NOD,Nappanee Open Door,ELK,0,0,CCFN,0,0,0,0,42,0,0,0,0,42,78,0,
OC,Oakhaven Community,MAR,0,0,CCFN,59,0,0,84,36,30,38,0,0,247,78,0,"500 S Montgomery St, Bremen, IN 46506"
TC,The Center,ELK,0,0,CCFN,306.25,0,0,74,0,36,0,0,0,416.25,78,0,
IUPFP,Ironwood United Pentecostal Food Pantry,SJ,0,0,CCFN,116.5,80,45,117.5,68,354,916.2,150,120,1847.2,78,0,
BOL,Bread of Life,MAR,0,0,CCFN,0,0,0,184,0,96,490,150,120,920,78,0,"6770 N Michigan St, Plymouth, IN 46563"
STC,S A K A L the Center,ELK,0,0,CCFN,244.5,160,65,346.7,24,101.5,2677.5,0,0,3619.2,78,0,
SBCS,South Bend Community Schools: Madison STEAM Academy,SJ,0,0,Backpack,0,0,0,0,0,0,0,615,492,615,78,0,
AIDS,Aids Ministries,SJ,0,0,CCFN,0,0,0,0,70,0,0,0,0,70,78,0,
BGCE,Boys & Girls Club of Elkhart,ELK,0,0,Backpack,0,0,0,74,20,16,59.6,0,0,169.6,78,0,
BGCE,Boys & Girls Club of Elkhart,ELK,0,0,Backpack,50,0,0,168,34,0,0,0,0,252,78,0,
CMYC,Charles Martin Youth Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,
DSK,Downtown Soup Kitchen,SJ,0,0,CCFN,0,0,0,0,39,0,0,0,0,39,78,0,
MFP,Mishawaka Food Pantry,SJ,0,0,CCFN,0,0,0,0,280,0,0,0,0,280,78,0,
AFFM,Abundant Faith Family Ministries,SJ,0,0,CCFN,0,0,0,0,0,0,8.5,0,0,8.5,78,0,
CSO,Community Support Other,ELK,0,0,Backpack,0,0,0,0,0,0,0,15,12,15,78,0,
TO,Thee Outlet,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,"22500 US-20 Suite B , South Bend, IN, United States, 46628"
SASKC,"Salvation Army: St Joe, Kroc Center",SJ,0,0,CCFN,0,0,0,0,0,0,0,30,24,30,78,0,"900 W Western Ave, South Bend, IN 46601"
RMH,Ronald McDonald House,SJ,0,0,Backpack,0,0,0,0,0,0,0,7.5,6,7.5,78,0,
OHA,Oaklawn: Hope Ave,ELK,0,0,CCFN,0,0,0,0,0,42,125.4,0,0,167.4,78,0,
STVINC,St. Vincent de Paul: St Matthew,ELK,0,0,CCFN,0,0,0,9.7,0,0,141,75,60,225.7,78,0,
OP,Oaklawn,SJ,0,0,CCFN,0,0,0,0,11.2,0,227.5,0,0,238.7,78,0,"415 E Madison St, South Bend, IN 46617"
NIA,Atheists of Northern Indiana Inc.,SJ,0,0,CCFN,0,0,0,0,0,0,34.2,0,0,34.2,78,0,
FO,Fishers Outreach,SJ,0,0,CCFN,111.4,3,0,0,22,7,120.8,0,0,264.2,78,0,
SASKC,"Salvation Army: St Joe, Kroc Center",SJ,0,0,CCFN,0,0,0,0,0,34.5,84.3,30,24,148.8,78,0,"900 W Western Ave, South Bend, IN 46601"
DFM,Divine Faith Ministries International,SJ,0,0,CCFN,0,0,0,15.7,0,82,84.5,0,0,182.2,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,37.5,25,0,18.5,0,65.5,269.8,30,24,446.3,78,0,"911 California Ave, South Bend, IN 46616"
GGFP,God's Grace Food Pantry,SJ,0,0,Backpack,184.5,20,112,192.6,278,25,465.2,150,120,1427.3,78,0,"303 S. Kenmore South Bend, IN 46619"
WCOC,Westside Church of Christ,SJ,0,0,CCFN,0,0,0,0,0,0,77.5,0,0,77.5,78,0,"22987 Edison Rd, South Bend, IN 46628"
SG,Saving Grace,ELK,0,0,CCFN,0,0,0,14.5,0,18,157.5,7.5,6,197.5,78,0,"405 W Beardsley Ave, Elkhart, IN 46514"
NCCFP,New Carlisle Community -Food Pantry,SJ,0,0,CCFN,0,0,0,84,0,30,0,0,0,114,78,0,
CR,Crossroad Recovery,ELK,0,0,Backpack,0,0,0,0,0,0,51,0,0,51,78,0,"57415 Alpha Dr, Goshen, IN 46528"
BMG,Beacon Medical Group E Blair Warner,SJ,0,0,CCFN,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
SJHD,St. Joe: Health Department,SJ,0,0,CCFN,0,0,0,0,22.5,0,56.7,22.5,18,101.7,78,0,
MFB,Milford Food Bank,ELK,0,0,CCFN,2912,2269,659,0,0,0,4266,0,0,10106,78,0,
SG,Saving Grace,ELK,0,0,CCFN,0,0,0,0,35.28,0,0,0,0,35.28,78,0,"405 W Beardsley Ave, Elkhart, IN 46514"
CCCFP,Christian Center Church,SJ,0,0,CCFN,0,0,0,0,18,0,0,0,0,18,78,0,"530 E Ireland Rd, South Bend, IN 46614"
CBCC,Charles Black Community Center,SJ,0,0,CCFN,0,0,0,0,12,54,0,56.25,45,122.25,78,0,
GSCE,Goshen Schools: Chamberlain Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,52.5,42,52.5,78,0,
GSGI,Goshen Schools: Goshen Intermediate,ELK,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
GSME,Goshen Schools: Model Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
GSPE,Goshen Schools: Parkside Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,
CSO,Concord: South Side,ELK,0,0,Backpack,0,0,0,0,0,0,0,247.5,198,247.5,78,0,
GSHS,Goshen Schools: High School,ELK,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
GSWGE,Goshen Schools: West Goshen Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,75,60,75,78,0,
GSWE,Goshen Schools: Waterford Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,120,96,120,78,0,
ESB,Elkhart Schools: Bristol,ELK,0,0,Backpack,0,0,0,0,0,0,0,352.5,282,352.5,78,0,
TC,Tolson Center,ELK,0,0,CCFN,0,0,0,0,0,0,0,225,180,225,78,0,
ESPH,Elkhart Schools: Pace Preschool/Hawthorne,ELK,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
PAA,Premier Arts Academy,ELK,0,0,Backpack,0,0,0,0,0,0,0,292.5,234,292.5,78,0,
MBFP,Middlebury Community Food Pantry - Food Distribution Center,ELK,0,0,CCFN,0,0,0,0,280,0,0,375,300,655,78,0,
ESEE,Elkhart Schools: Eastwood Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,127.5,102,127.5,78,0,
ESMF,Elkhart Schools: Mary Feeser,ELK,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
ESMD,Elkhart Schools: Mary Daly,ELK,0,0,Backpack,0,0,0,0,0,0,0,262.5,210,262.5,78,0,
ESR,Elkhart Schools: Riverview,ELK,0,0,Backpack,0,0,0,0,0,0,0,217.5,174,217.5,78,0,
FFC,Family Resource Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
HCHSN,Heart City Health - Simpson,ELK,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
HCHS,Heart City Health - Scenic,ELK,0,0,Backpack,0,0,0,0,0,0,0,90,72,90,78,0,
WHCP,World Harvest Church Elkhart,ELK,0,0,CCFN,0,0,0,0,112,0,0,0,0,112,78,0,
WHCP,World Harvest Church Elkhart,ELK,0,0,CCFN,0,400,0,134,0,537,2451,150,120,3672,78,0,
GFP,Gymtown Pantry INC.,ELK,0,0,CCFN,176.5,100,42,0,22,0,582,0,0,922.5,78,0,
THB,Bristol Community Food Pantry,ELK,0,0,CCFN,94.5,100,0,84,112,41.5,30.2,150,120,612.2,78,0,
SAG,"Salvation Army North Main Street, Goshen, IN",ELK,0,0,CCFN,65,0,0,0,22.5,54,51,0,0,192.5,78,0,
MLC,Maple Leaf Commons,ELK,0,0,CCFN,0,0,0,0,22.4,52,70.5,0,0,144.9,78,0,
BGCE,Boys & Girls Club of Elkhart,ELK,0,0,Backpack,37.5,0,0,0,0,0,488.7,0,0,526.2,78,0,
MBFP,Middlebury Community Food Pantry - Food Distribution Center,ELK,0,0,CCFN,0,0,0,14.5,0,0,368.7,0,0,383.2,78,0,
SAE,Salvation Army: Elkhart,ELK,0,0,CCFN,118.5,0,0,0,0,151,375,150,120,794.5,78,0,
CLAY,Clay Church Food Pantry,SJ,0,0,CCFN,0,0,0,0,350,0,0,562.5,450,912.5,78,0,
STVINC,St. Vincent de Paul: St Pius,ELK,0,0,CCFN,0,0,0,0,0,0,0,25,20,25,78,0,"1108 S Main St, Elkhart, IN 46516"
PSB,Paramount South Bend,SJ,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
SBCS,South Bend Community Schools: Navarre,SJ,0,0,Backpack,0,0,0,0,0,0,0,37.5,30,37.5,78,0,
CA,Career Academy,SJ,0,0,Backpack,0,0,0,0,0,0,0,300,240,300,78,0,
SBCS,South Bend Community Schools: Clay Intermediate,SJ,0,0,Backpack,0,0,0,0,0,0,0,525,420,525,78,0,
SBCS,South Bend Community Schools: Nuner Elementary,SJ,0,0,Backpack,0,0,0,0,0,0,0,120,96,120,78,0,
SBCS,South Bend Community Schools: Harrison,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
SBCS,South Bend Community Schools: Wilson,SJ,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
RL,Resurrection Lutheran,SJ,0,0,CCFN,0,0,0,0,0,0,0,52.5,42,52.5,78,0,
SBCS,South Bend Community Schools: Edison,SJ,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
MTS,Marshall Traditional School,SJ,0,0,Backpack,0,0,0,0,0,0,0,292.5,234,292.5,78,0,
UM,U Matter 2,MAR,0,0,CCFN,0,0,0,15.7,0,69,17.5,150,120,252.2,78,0,
SJHD,St. Joe: Health Department,SJ,0,0,CCFN,0,0,0,0,0,0,6.2,0,0,6.2,78,0,
OPC,Oaklawn Psychiatric Center,SJ,0,0,CCFN,0,0,0,0,0,0,6.5,30,24,36.5,78,0,
NIA,Atheists of Northern Indiana Inc.,SJ,0,0,CCFN,6,0,0,5.8,17,0,96.2,30,24,155,78,0,
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,50,0,0,121,49.5,14,65,150,120,449.5,78,0,
TWFF,The Walorski Family Foundation,SJ,0,0,CCFN,0,0,0,0,11.25,0,263,0,0,274.25,78,0,
OPSHE,Oaklawn Psychiatric Center,ELK,0,0,CCFN,0,0,0,3.7,0,36,88.77,90,72,218.47,78,0,
KBI,Kingdom Business International,SJ,0,0,CCFN,0,0,0,0,0,0,47,0,0,47,78,0,"907 Sprucewood Ln, South Bend, IN 46637"
CCCFP,Christian Center Church,SJ,0,0,CCFN,0,0,0,0,0,0,24,0,0,24,78,0,"530 E Ireland Rd, South Bend, IN 46614"
LYD,Lydick United Methodist Church,SJ,0,0,CCFN,63,0,0,57.7,0,0,112,0,0,232.7,78,0,
OOA,Oliver Apartments,SJ,0,0,CCFN,0,0,0,0,0,0,52.5,0,0,52.5,78,0,"924 W Indiana Ave, South Bend, IN 46613"
FAF,Community Fridge,SJ,0,0,CCFN,6,0,0,1.7,0,59.5,186.5,30,24,283.7,78,0,"911 California Ave, South Bend, IN 46616"
TMLF,"1323 Miami , South Bend, IN, United States, Indiana",SJ,0,0,CCFN,118.5,0,0,84,70.5,145.8,971,300,240,1689.8,78,0,
SBCS,South Bend Community Schools: Navarre,SJ,0,0,Backpack,17,0,0,175.7,12,18,46.7,0,0,269.4,78,0,
BOHSJ,Brick of Hope Ministry,SJ,0,0,CCFN,4604,0,0,944,638,699,3032,0,0,9917,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,0,0,0,0,0,107.7,0,0,107.7,78,0,"911 California Ave, South Bend, IN 46616"
LYD,Lydick United Methodist Church,SJ,0,0,CCFN,0,0,0,0,42,0,0,0,0,42,78,0,
LS,Legacy Steps,SJ,0,0,CCFN,0,0,0,0,58.6,0,0,0,0,58.6,78,0,
OP,Oaklawn,SJ,0,0,CCFN,0,0,0,0,49,0,0,0,0,49,78,0,"415 E Madison St, South Bend, IN 46617"
LTC,Life Treatment Center (wants to remain ANON),SJ,0,0,CCFN,0,0,0,0,56,0,0,0,0,56,78,0,
MOFHM,Monastery of the Holy Martyrs,SJ,0,0,CCFN,0,0,0,0,800.7,0,0,0,0,800.7,78,0,
BOL,Bread of Life,MAR,0,0,CCFN,0,0,0,0,840,0,0,0,0,840,78,0,"6770 N Michigan St, Plymouth, IN 46563"
UG,Unity Gardens,SJ,0,0,CCFN,0,0,0,0,133,0,0,0,0,133,78,0,
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,0,0,0,0,144.2,0,0,0,0,144.2,78,0,
GFP,Gymtown Pantry INC.,ELK,0,0,CCFN,0,0,0,0,276,0,0,0,0,276,78,0,
GNJMBC,Greater New Jerusalem Missionary Baptist Church,SJ,0,0,CCFN,0,0,0,0,385,0,0,0,0,385,78,0,
STVINC,St. Vincent de Paul - St. Thomas,ELK,0,0,CCFN,0,0,126,168,270.1,0,0,0,0,564.1,78,0,
LFD,Lakeville Fire Department,SJ,0,0,CCFN,2330,0,0,0,50,0,0,0,0,2380,78,0,"117 S Main St, Lakeville, IN 46536"
BOHSJ,Brick of Hope Ministry,SJ,0,0,CCFN,0,0,0,1197,0,0,0,0,0,1197,78,0,
KBI,Kingdom Business International,SJ,0,0,CCFN,100,0,0,0,0,0,30,15,12,145,78,0,"907 Sprucewood Ln, South Bend, IN 46637"
CSC,Clubhouse of St. Joseph County,SJ,0,0,CCFN,100,0,0,0,0,0,31.5,15,12,146.5,78,0,
ORC,Oaklawn: Recovery Cafe,SJ,0,0,CCFN,96,0,0,0,0,0,20.5,15,12,131.5,78,0,
LS,Legacy Steps,SJ,0,0,CCFN,0,0,0,0,0,0,13,0,0,13,78,0,
CLAY,Clay Church Food Pantry,SJ,0,0,CCFN,0,0,0,0,0,0,236,0,0,236,78,0,
CLAY,Clay Church Food Pantry,SJ,0,0,CCFN,0,0,0,0,0,0,0,562.5,450,562.5,78,0,
CMYC,Charles Martin Youth Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,
KBI,Kingdom Business International,SJ,0,0,CCFN,40,0,13,0,0,0,0,0,0,53,78,0,"907 Sprucewood Ln, South Bend, IN 46637"
CBCC,Charles Black Community Center,SJ,0,0,CCFN,0,0,0,0,20,60,0,125,100,205,78,0,
PACM,Plymouth Ancilla College Moontree,MAR,0,0,Backpack,0,0,0,0,0,0,0,1125,900,1125,78,0,
WES,Walkerton Elementary School,SJ,0,0,Backpack,0,0,0,0,0,0,0,285,228,285,78,0,
CHS,Culver Community Middle/High School,MAR,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
CE,Culver Elementary School,MAR,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
CFP,Culver Food Pantry,MAR,0,0,CCFN,0,0,0,0,70,0,0,0,0,70,78,0,
MCNC,Marshall County Neighborhood Center,MAR,0,0,CCFN,0,0,0,0,280,0,0,0,0,280,78,0,
DC,David's Courage,SJ,0,0,CCFN,0,0,0,0,14,0,0,0,0,14,78,0,
BOHSJ,Brick of Hope Ministry,SJ,0,0,CCFN,196,75,0,0,0,0,143,0,0,414,78,0,
RA,Robertsons Apartments,SJ,0,0,CCFN,288,98,0,206,42.5,113,1170,75,60,1992.5,78,0,"211 S Michigan St, South Bend, IN 46601"
OLOTR,Our Lady of the Road,SJ,0,0,CCFN,0,0,0,0,0,0,84.7,75,60,159.7,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,77,0,0,0,14,18,118.5,30,24,257.5,78,0,"911 California Ave, South Bend, IN 46616"
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,142,100,16,32,41,0,321.8,150,120,802.8,78,0,
SPBMBC,St Paul Bethel Baptist Church,SJ,0,0,CCFN,320,0,0,0,18,0,74.5,0,0,412.5,78,0,
AMBC,Antioch Missionary Baptist Church,SJ,0,0,CCFN,200,0,0,0,0,0,17.2,0,0,217.2,78,0,"1533 W Ewing Ave, South Bend, IN 46613"
SASKC,"Salvation Army: St Joe, Kroc Center",SJ,0,0,CCFN,56,0,0,0,0,0,33.7,0,0,89.7,78,0,"900 W Western Ave, South Bend, IN 46601"
STVINC,St Vincent De Paul Catholic Church,ELK,0,0,CCFN,0,0,0,0,0,0,0,67.5,54,67.5,78,0,"1108 S Main St, Elkhart, IN 46516"
VCC,Vineyard Community Center,SJ,0,0,CCFN,0,0,0,0,0,0,42.2,0,0,42.2,78,0,"609 John Glenn Ct, Mishawaka, IN 46544"
VFP,Village Pantry,SJ,0,0,CCFN,100,24,0,0,0,0,34.5,0,0,158.5,78,0,"13060 Jefferson Blvd, Mishawaka, IN 46545"
AMBC,Antioch Missionary Baptist Church,SJ,0,0,CCFN,0,0,0,0,50.4,0,0,0,0,50.4,78,0,"1533 W Ewing Ave, South Bend, IN 46613"
IUPFP,Ironwood United Pentecostal Food Pantry,SJ,0,0,CCFN,100,0,0,0,14,0,204.7,75,60,393.7,78,0,
MFP,Mishawaka Food Pantry,SJ,0,0,CCFN,0,0,0,0,0,0,103.7,150,120,253.7,78,0,
DSK,Downtown Soup Kitchen,SJ,0,0,CCFN,0,0,0,0,30,0,0,0,0,30,78,0,
SBCS,South Bend Community Schools: Madison STEAM Academy,SJ,0,0,Backpack,0,0,0,0,0,0,0,615,492,615,78,0,
CMYC,Charles Martin Youth Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,
AIDS,Aids Ministries,SJ,0,0,CCFN,0,0,0,0,70,0,0,0,0,70,78,0,
OC,Oakhaven Community,MAR,0,0,CCFN,16,0,0,0,25.2,0,8.5,0,0,49.7,78,0,"500 S Montgomery St, Bremen, IN 46506"
BGCE,Boys & Girls Club of Elkhart,ELK,0,0,Backpack,100,0,0,0,0,0,222.7,0,0,322.7,78,0,
NOD,Nappanee Open Door,ELK,0,0,CCFN,164,0,0,0,0,0,100.5,37.5,30,302,78,0,
BOL,Bread of Life,MAR,0,0,CCFN,0,124,0,0,0,0,787.5,150,120,1061.5,78,0,"6770 N Michigan St, Plymouth, IN 46563"
TC,The Center,ELK,0,0,CCFN,0,0,0,0,0,36,307,0,0,343,78,0,
BS,Bremen Schools,MAR,0,0,Backpack,0,0,0,0,0,0,0,37.5,30,37.5,78,0,"512 W Grant St, Bremen, IN 46506"
BOL,Bread of Life,MAR,0,0,CCFN,0,0,0,0,0,0,420,0,0,420,78,0,"6770 N Michigan St, Plymouth, IN 46563"
NOD,Nappanee Open Door,ELK,0,0,CCFN,0,0,0,0,0,0,42,0,0,42,78,0,
TC,The Center,ELK,0,0,CCFN,0,0,0,0,0,0,28,75,60,103,78,0,
OG,Open Gate,ELK,0,0,CCFN,0,100,0,31,0,0,426.2,165,132,722.2,78,0,
MFP,Mishawaka Food Pantry,SJ,0,0,CCFN,0,0,0,0,280,0,0,0,0,280,78,0,
IUPFP,Ironwood United Pentecostal Food Pantry,SJ,0,0,CCFN,0,0,0,0,42,0,0,0,0,42,78,0,
OP,Oaklawn,SJ,0,0,CCFN,114,0,0,0,386,0,23,0,0,523,78,0,"415 E Madison St, South Bend, IN 46617"
GGFP,God's Grace Food Pantry,SJ,0,0,Backpack,253,0,38,513,79,33,191.2,105,84,1212.2,78,0,"303 S. Kenmore South Bend, IN 46619"
FO,Fishers Outreach,SJ,0,0,CCFN,100,0,0,0,0,0,71,0,0,171,78,0,
NCCFP,New Carlisle Community -Food Pantry,SJ,0,0,CCFN,0,12,0,0,0,0,65,0,0,77,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,163.5,0,0,29,0,18,163.5,30,24,404,78,0,"911 California Ave, South Bend, IN 46616"
TWFF,The Walorski Family Foundation,SJ,0,0,CCFN,0,24,0,31,42,0,159.6,0,0,256.6,78,0,
DFM,Divine Faith Ministries International,SJ,0,0,CCFN,254,0,0,0,0,0,311.5,0,0,565.5,78,0,
VFP,Village Pantry,SJ,0,0,CCFN,0,0,0,0,0,0,120,0,0,120,78,0,"13060 Jefferson Blvd, Mishawaka, IN 46545"
OPC,Oaklawn Psychiatric Center,SJ,0,0,CCFN,0,0,0,0,0,0,0,150,120,150,78,0,
CSO,Community Support Other,ELK,0,0,Backpack,0,0,0,0,0,0,0,15,12,15,78,0,
TO,Thee Outlet,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,"22500 US-20 Suite B, South Bend, IN, United States, 46628"
SASKC,"Salvation Army: St Joe, Kroc Center",SJ,0,0,CCFN,0,0,0,0,0,0,0,30,24,30,78,0,"900 W Western Ave, South Bend, IN 46601"
MFB,Milford Food Bank,ELK,0,0,CCFN,327.5,1410,1750,0,0,0,3745.5,0,0,7233,78,0,
WCOC,Westside Church of Christ,SJ,0,0,CCFN,0,0,0,0,0,0,57,0,0,57,78,0,"22987 Edison Rd, South Bend, IN 46628"
RMH,Ronald McDonald House,SJ,0,0,Backpack,0,0,0,0,0,0,0,7.5,6,7.5,78,0,
CBCC,Charles Black Community Center,SJ,0,0,CCFN,0,0,25,0,16,52,28,78.75,63,199.75,78,0,
CCCFP,Christian Center Church,SJ,0,0,CCFN,76,0,0,0,0,0,44.5,112.5,90,233,78,0,"530 E Ireland Rd, South Bend, IN 46614"
ORC,Oaklawn: Recovery Cafe,SJ,0,0,CCFN,0,0,0,0,5,16.2,51.5,0,0,72.7,78,0,
