,Location Names,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,Column1,Column2,Missing Addresses
AFFM,Abundant Faith Family Ministries,SJ,,0,CCFN,3.7,101,40,31,20,25,11,0,0,231.7,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,24,11,35,0,0,46.5,30,24,146.5,78,0,"911 California Ave, South Bend, IN 46616"
MOFHM,Monastery of the Holy Martyrs,SJ,0,0,CCFN,380.1,0,709.1,606.1,224,356,1425.3,150,120,3850.6,78,0,
GNJMBC,Greater New Jerusalem Missionary Baptist Church,SJ,0,0,CCFN,719,0,223,163.25,16,216,401,0,0,1738.25,78,0,
CFP,Culver Food Pantry,MAR,0,0,CCFN,159,100,15,0,0,69,260,0,0,603,78,0,
ORC,Oaklawn: Recovery Cafe,SJ,0,0,CCFN,0,0,0,0,0,0,88,37.5,30,125.5,78,0,
AFFM,Abundant Faith Family Ministries,SJ,0,0,CCFN,0,0,22,62,0,48,231,22.5,18,385.5,78,0,
AIDS,Aids Ministries,SJ,0,0,CCFN,0,0,0,0,70,0,0,0,0,70,78,0,
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,0,144,5,0,0,48,136,0,0,333,78,0,
BCP,Broadway Christian Parish Church,SJ,0,0,CCFN,159,144,0,96,0,0,0,150,120,549,78,0,
CMYC,Charles Martin Youth Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,75,60,75,78,0,
CSC,Clubhouse of St. Joseph County,SJ,0,0,CCFN,53,24,0,0,0,0,0,0,0,77,78,0,
CSO,Community Support Other,ELK,0,0,Backpack,0,0,0,0,0,0,0,15,12,15,78,0,
STC,S A K A L the Center,ELK,0,0,CCFN,159,244,135.1,146,94,48,125,0,0,951.1,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,24,11,27,0,0,48.5,0,0,110.5,78,0,"911 California Ave, South Bend, IN 46616"
SBCS,South Bend Community Schools: Madison STEAM Academy,SJ,0,0,Backpack,0,0,0,0,0,0,0,615,492,615,78,0,
0,Indiana Health Centers,SJ,0,0,CCFN,0,48,0,0,28,0,0,0,0,76,78,0,
LS,Legacy Steps,SJ,0,0,CCFN,0,0,0,0,0,46,88,0,0,134,78,0,
RA,Robertsons Apartments,SJ,0,0,CCFN,197,100,64,188,67,105.5,227,45,36,993.5,78,0,"211 S Michigan St, South Bend, IN 46601"
