Date,Vendor Code,Column3,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,Column1,Column2,,,
1/10/2025,SBCS,South Bend Community Schools: Wilson,SJ,,,Backpack,,,,,,,,187.50, 150.00 ,187.50,78,,,,
1/10/2025,TWFF,The Walorski Family Foundation,SJ,,,CCFN,,,8.00,,42.00,,8.00,0.00,,58.00,78,,,,
1/10/2025,VFP,Village Food Pantry,SJ,,,CCFN,,,,,14.00,330.00,4.50,0.00,,348.50,78,,,,
1/10/2025,EFP,Edwardsburg Food Pantry,OTH,,,CCFN,168.00,152.00,80.00,16.00,,71.50,267.20,0.00,,754.70,78,,,,
1/10/2025,OHA,Oaklawn: Hope Ave,ELK,,,CCFN,161.50,,,,74.50,71.80,121.30,0.00,,429.10,78,,,,
1/12/2025,FAF,Feed A Friend,SJ,,,CCFN,53.00,,,40.00,,17.25,108.00,30.00, 24.00 ,248.25,78,,,,
1/13/2025,CBCC,Charles Black Community Center,SJ,,,CCFN,48.00,,,,,,45.00,0.00,,93.00,78,,,,
1/13/2025,CTAC,Christ Temple Apostolic Church,SJ,,,CCFN,,,40.00,,,,85.50,0.00,,125.50,78,,,,
1/13/2025,FAF,Feed A Friend,SJ,,,CCFN,,48.00,20.00,35.00,,,100.25,0.00,,203.25,78,,,,
1/13/2025,OPC,Oaklawn Psychiatric Center,SJ,,,CCFN,,,5.00,8.00,,,8.00,30.00, 24.00 ,51.00,78,,,,
1/13/2025,UG,Unity Gardens,SJ,,,CCFN,,,70.00,103.00,,,20.00,0.00,,193.00,78,,,,
1/13/2025,#N/A,Young Women's Christian Association ,SJ,,,CCFN ,,,40.00,,,,309.50,75.00, 60.00 ,424.50,78,,,,
1/13/2025,FO,Fishers Outreach,SJ,,,CCFN,,,10.00,16.50,,,77.50,0.00,,104.00,78,,,,
1/13/2025,LYD,Lydick UMC,SJ,,,CCFN,45.00,104.00,44.00,38.50,,,410.00,0.00,,641.50,78,,,,
1/13/2025,UM,U Matter 2,MAR,,,CCFN,,,70.00,96.00,,,311.50,150.00, 120.00 ,627.50,78,,,,
1/13/2025,#N/A,Indiana Health Centers,SJ,,,CCFN ,,,,,,,21.00,0.00,,21.00,78,,,,
1/13/2025,HHCC,Helping Hands - Cass County,OTH,,,CCFN,,,40.00,96.00,,,309.50,150.00, 120.00 ,595.50,78,,,,
1/13/2025,STVINC,St. Vincent de Paul - St. Thomas,ELK,,,CCFN,127.00,,,,,153.00,70.30,0.00,,350.30,78,,,,
1/14/2025,OP,Oaklawn: Properties,SJ,,,CCFN,108.25,79.00,1.70,,16.00,97.30,110.50,0.00,,412.75,78,,,,
1/14/2025,ORC,Oaklawn: Recovery Cafe ,SJ,,,CCFN,,,,,9.00,,234.00,22.50, 18.00 ,265.50,78,,,,
1/14/2025,DLM,Darryl's Meals,MAR,,,CCFN,,,,,,,,37.50, 30.00 ,37.50,78,,,,
1/14/2025,SJL,St. Joe Library,SJ,,,Backpack,,,,,,,,225.00, 180.00 ,225.00,78,,,,
1/14/2025,SJHD,St. Joe: Health Department ,SJ,,,CCFN,,144.00,,33.00,,,96.00,0.00,,273.00,78,,,,
1/14/2025,VFP,Village Food Pantry,SJ,,,CCFN,12.00,48.00,,,,20.00,165.00,0.00,,245.00,78,,,,
1/14/2025,BOHSJ,Brick of Hope - St Joe County,SJ,,,CCFN,106.50,144.00,,96.00,16.00,,813.00,0.00,,"1,175.50",78,,,,
1/14/2025,KKH,Karl King Holdings,SJ,,,CCFN,303.70,248.00,41.30,7.00,27.00,461.00,512.70,0.00,,"1,600.70",78,,,,
1/14/2025,MCNC,Marshall County Neighborhood Center,MAR,,,CCFN,,144.00,,,,,397.00,0.00,,541.00,78,,,,
1/14/2025,MCNC,Marshall County Neighborhood Center,MAR,,,CCFN,,,,,280.00,,,0.00,,280.00,78,,,,
1/14/2025,FAF,Feed A Friend,SJ,,,CCFN,,,15.00,35.00,,,117.75,30.00, 24.00 ,197.75,78,,,,
1/14/2025,OLOTR,Our Lady of the Road,SJ,,,CCFN,66.00,24.00,70.00,67.50,,149.00,678.20,75.00, 60.00 ,"1,129.70",78,,,,
1/14/2025,GNJMBC,Greater New Jerusalem Missionary Baptist Church,SJ,,,CCFN,303.00,558.00,49.00,274.50,12.00,454.50,"1,310.20",0.00,,"2,961.20",78,,,,
1/14/2025,KBI,Kingdom Business International,SJ,,,CCFN,,72.00,,,32.00,,,0.00,,104.00,78,,,,
1/14/2025,NCCFP,New Carlisle Community Food Pantry ,SJ,,,CCFN,71.00,,,,,,,0.00,,71.00,78,,,,
1/14/2025,SPBMBC,St. Paul Bethel Missionary Baptist Church,SJ,,,CCFN,172.00,,,,,72.00,341.00,0.00,,585.00,78,,,,
1/14/2025,BCP,Broadway Christian Parish,SJ,,,CCFN,,,,,168.00,,,0.00,,168.00,78,,,,
1/14/2025,CSC,Clubhouse of St. Joseph County,SJ,,,CCFN,,,,14.50,,,225.00,0.00,,239.50,78,,,,
1/14/2025,CE,Culver Elementary,MAR,,,Backpack,,,,,,,,187.50, 150.00 ,187.50,78,,,,
1/14/2025,CFP,Culver Food Pantry,MAR,,,CCFN,159.00,,,,151.00,,153.00,150.00, 120.00 ,613.00,78,,,,
1/14/2025,CHS,Culver High School,MAR,,,Backpack,,,,,,,,105.00, 84.00 ,105.00,78,,,,
1/14/2025,DC,David's Courage,SJ,,,CCFN,,,,,14.00,,,0.00,,14.00,78,,,,
1/14/2025,PACM,Plymouth Ancilla College Moontree ,MAR,,,Backpack,,,,,,,,"1,500.00"," 1,200.00 ","1,500.00",78,,,,
1/14/2025,MOFHM,Monastery of the Holy Martyrs,SJ,,,CCFN,177.00,352.00,167.50,55.00,68.00,402.00,"1,129.00",300.00, 240.00 ,"2,650.50",78,,,,
1/14/2025,LE,LaVille Elementary,SJ ,,,Backpack,,,,,,,,135.00, 108.00 ,135.00,78,,,,
1/14/2025,LTC,Life Treatment Center (wants to remain ANON),SJ,,,CCFN,,,,,,,49.50,0.00,,49.50,78,,,,
1/14/2025,MOFHM,Monastery of the Holy Martyrs,SJ,,,CCFN,,,,,168.00,,,0.00,,168.00,78,,,,
1/14/2025,NCCFP,New Carlisle Community Food Pantry ,SJ,,,CCFN,,,,,84.00,,,0.00,,84.00,78,,,,
1/15/2025,AFFM,Abundant Faith Family Ministries,SJ,,,CCFN,48.50,,,,18.00,68.00,266.70,0.00,,401.20,78,,,,
1/15/2025,ATC,"Adult Teen Challange, Northern Indiana",ELK ,,,CCFN,751.00,88.00,155.00,,,72.00,221.50,0.00,,"1,287.50",78,,,,
1/15/2025,AIDS,Aids Ministries,SJ,,,CCFN,,,,,70.00,,,0.00,,70.00,78,,,,
1/15/2025,BHSCI,Becon Health System Community Impact,SJ,,,CCFN,,,,,,,,112.50, 90.00 ,112.50,78,,,,
1/15/2025,CBCC,Charles Black Community Center,SJ,,,CCFN,135.00,,,,45.00,30.00,18.00,0.00,,228.00,78,,,,
1/15/2025,CMYC,Charles Martin Youth Center,SJ,,,Backpack,,,,,,,198.00,150.00, 120.00 ,348.00,78,,,,
1/15/2025,CPS,Child & Parent Services (CAPS),ELK ,,,Backpack,,,,,,,,375.00, 300.00 ,375.00,78,,,,
1/15/2025,CSC,Clubhouse of St. Joseph County,SJ,,,CCFN,,,,43.50,18.00,,61.25,7.50, 6.00 ,130.25,78,,,,
1/15/2025,CSO,Community Support Other,ELK,,,Backpack,,,,,,,,15.00, 12.00 ,15.00,78,,,,
1/15/2025,IUPFP,Ironwood United Pentecostal Food Pantry,SJ,,,CCFN,327.50,22.00,160.00,5.50,24.00,257.40,135.50,75.00, 60.00 ,"1,006.90",78,,,,
1/15/2025,FAF,Feed A Friend,SJ,,,CCFN,53.00,,15.00,45.00,,7.25,116.50,30.00, 24.00 ,266.75,78,,,,
1/15/2025,LS,Legacy Steps,SJ,,,CCFN,,,,,,,15.00,0.00,,15.00,78,,,,
1/15/2025,IUPFP,Ironwood United Pentecostal Food Pantry,SJ,,,CCFN,,,,,42.00,,,0.00,,42.00,78,,,,
1/15/2025,MFP,Mishawaka Food Pantry,SJ,,,CCFN,,,30.00,,10.00,,,0.00,,40.00,78,,,,
1/15/2025,MFP,Mishawaka Food Pantry,SJ,,,CCFN,,,,,280.00,,,0.00,,280.00,78,,,,
1/15/2025,NOD,Nappanee Open Door,ELK,,,CCFN,,,,,,198.00,137.00,0.00,,335.00,78,,,,
1/15/2025,NOD,Nappanee Open Door,ELK,,,CCFN,,,,,42.00,,,0.00,,42.00,78,,,,
1/15/2025,OC,Oakhaven Community,MAR,,,CCFN,45.00,,,,49.00,,,0.00,,94.00,78,,,,
1/15/2025,RA,Robertsons Apartments,SJ,,,CCFN,261.00,,45.80,241.00,108.00,257.00,883.90,30.00, 24.00 ,"1,826.70",78,,,,
1/15/2025,STC,S A K A L the Center,ELK,,,CCFN,37.50,,,,,221.00,10.00,0.00,,268.50,78,,,,
1/15/2025,SASKC,"Salvation Army: St Joe, Kroc Center",SJ,,,CCFN,,72.00,,27.50,,28.70,211.00,22.50, 18.00 ,361.70,78,,,,
1/15/2025,SBCS,South Bend Community Schools: Madison STEAM Academy,SJ,,,Backpack,,,,,,,,615.00, 492.00 ,615.00,78,,,,
1/15/2025,STC,S A K A L the Center,ELK,,,CCFN,85.00,,9.00,174.00,,153.00,170.00,0.00,,591.00,78,,,,
1/15/2025,SJL,St. Joe Library,SJ,,,Backpack,,,,,,,,225.00, 180.00 ,225.00,78,,,,
1/15/2025,TC,The Center,ELK,,,CCFN,,,6.40,,7.00,57.50,90.00,75.00, 60.00 ,235.90,78,,,,
1/15/2025,TC,The Center,ELK,,,CCFN,,,,,28.00,,,127.50, 102.00 ,155.50,78,,,,
1/15/2025,TO,Thee Outlet,SJ,,,Backpack,,,,,,,,150.00, 120.00 ,150.00,78,,,,
1/15/2025,BGCE,Boys & Girls Club Elkhart County ,ELK,,,Backpack,75.00,,,35.00,26.00,112.50,12.00,0.00,,260.50,78,,,,
1/15/2025,BOL,Bread of Life,MAR,,,CCFN,17.00,,,325.00,,189.00,782.00,150.00, 120.00 ,"1,463.00",78,,,,
1/15/2025,BOL,Bread of Life,MAR,,,CCFN,,,,,420.00,,,0.00,,420.00,78,,,,
1/15/2025,BOHSJ,Brick of Hope - St Joe County,SJ,,,CCFN,45.00,40.00,,,20.00,35.00,12.00,0.00,,152.00,78,,,,
1/15/2025,DFM,Divine Faith Ministry,SJ,,,CCFN,101.00,,,55.00,,189.00,617.40,0.00,,962.40,78,,,,
1/15/2025,DSK,Downtown Soup Kitchen,SJ,,,CCFN,,,,,16.00,,,0.00,,16.00,78,,,,
1/15/2025,STC,S A K A L the Center,ELK,,,CCFN,685.75,640.00,123.00,392.50,250.00,357.00,"1,913.30",0.00,,"4,361.55",78,,,,
1/15/2025,SASKC,"Salvation Army: St Joe, Kroc Center",SJ,,,CCFN,,,,,,,,30.00, 24.00 ,30.00,78,,,,
1/15/2025,NCCFP,New Carlisle Community Food Pantry ,SJ,,,CCFN,,,,,,266.30,152.00,0.00,,418.30,78,,,,
1/15/2025,RPCFC,RETA Pregnancy Clinic & Family Clinic,SJ,,,CCFN,,,,,,,38.50,150.00, 120.00 ,188.50,78,,,,
1/16/2025,BGCE,Boys & Girls Club Elkhart County ,ELK,,,Backpack,,,,,35.00,34.50,272.00,0.00,,341.50,78,,,,
1/16/2025,BPL,Bristol Public Library,ELK ,,,Backpack,,,,,,,,150.00, 120.00 ,150.00,78,,,,
1/16/2025,CUMC,Calvary United Methodist Church,ELK ,,,CCFN,6.00,,,95.80,14.00,88.20,210.00,0.00,,414.00,78,,,,
1/16/2025,CCCFP,Christian Center Church Food Pantry,SJ,,,CCFN,24.00,24.00,,27.50,,7.50,66.70,112.50, 90.00 ,262.20,78,,,,
1/16/2025,CCS,Church Community Services,ELK ,,,CCFN,,,,,,,,"1,050.00", 840.00 ,"1,050.00",78,,,,
1/16/2025,CSO,Concord: South Side,ELK,,,Backpack,,,,,,,,262.50, 210.00 ,262.50,78,,,,
1/16/2025,CWS,Concord: West Side,ELK ,,,Backpack,,,,,,,,300.00, 240.00 ,300.00,78,,,,
1/16/2025,CHCC,Crowned Heros Care Center,SJ,,,CCFN,,,,29.00,,,95.00,0.00,,124.00,78,,,,
1/16/2025,ESB,Elkhart Schools: Bristol,ELK,,,Backpack,,,,,,,,300.00, 240.00 ,300.00,78,,,,
1/16/2025,ESEE,Elkhart Schools: Eastwood Elementary,ELK,,,Backpack,,,,,,,,127.50, 102.00 ,127.50,78,,,,
1/16/2025,ESMD,Elkhart Schools: Mary Daly,ELK,,,Backpack,,,,,,,,247.50, 198.00 ,247.50,78,,,,
1/16/2025,ESMF,Elkhart Schools: Mary Feeser ,ELK,,,Backpack,,,,,,,,112.50, 90.00 ,112.50,78,,,,
1/16/2025,ESNMS,Elkhart Schools: Northside Middle School,ELK,,,Backpack,,,,,,,,90.00, 72.00 ,90.00,78,,,,
1/16/2025,ESPH,Elkhart Schools: Pace Preschool/Hawthorne,ELK,,,Backpack,,,,,,,,225.00, 180.00 ,225.00,78,,,,
1/16/2025,ESR,Elkhart Schools: Riverview,ELK,,,Backpack,,,,,,,,217.50, 174.00 ,217.50,78,,,,
1/16/2025,EC,Excel Center,SJ,,,CCFN,,,,,,,,112.50, 90.00 ,112.50,78,,,,
1/16/2025,FFC,Family Resource Center,SJ,,,Backpack,,,,,,,,225.00, 180.00 ,225.00,78,,,,
1/16/2025,GSCE,Goshen Schools: Chamberlain Elementary,ELK,,,Backpack,,,,,,,,45.00, 36.00 ,45.00,78,,,,
1/16/2025,GSGI,Goshen Schools: Goshen Intermediate ,ELK,,,Backpack,,,,,,,,75.00, 60.00 ,75.00,78,,,,
1/16/2025,GSHS,Goshen Schools: High School,ELK,,,Backpack,,,,,,,20.00,375.00, 300.00 ,395.00,78,,,,
1/16/2025,GSME,Goshen Schools: Model Elementary,ELK,,,Backpack,,,,,,,,112.50, 90.00 ,112.50,78,,,,
1/16/2025,GPVE,Goshen Schools: Prairie View Elementary,ELK,,,Backpack,,,,,,,,30.00, 24.00 ,30.00,78,,,,
1/16/2025,GSWE,Goshen Schools: Waterford Elementary,ELK,,,Backpack,,,,,,,,127.50, 102.00 ,127.50,78,,,,
1/16/2025,GSWGE,Goshen Schools: West Goshen Elementary,ELK,,,Backpack,,,,,,,,90.00, 72.00 ,90.00,78,,,,
1/16/2025,GFP,Gymtown Food Pantry,ELK,,,CCFN,54.00,144.00,40.00,198.00,,525.50,"1,033.50",0.00,,"1,995.00",78,,,,
1/16/2025,HCHS,Heart City Health - Scenic,ELK,,,Backpack,,,,,,,,90.00, 72.00 ,90.00,78,,,,
