GEO_ID,NAME,Food Insecurity Index
1400000US18141010600,Census Tract 106; St. Joseph County; Indiana,6
1400000US18141010700,Census Tract 107; St. Joseph County; Indiana,6
1400000US18141010800,Census Tract 108; St. Joseph County; Indiana,4
1400000US18141010901,Census Tract 109.01; St. Joseph County; Indiana,4
1400000US18141010902,Census Tract 109.02; St. Joseph County; Indiana,2
1400000US18141011001,Census Tract 110.01; St. Joseph County; Indiana,1
1400000US18141011002,Census Tract 110.02; St. Joseph County; Indiana,3
1400000US18141011100,Census Tract 111; St. Joseph County; Indiana,6
1400000US18141011203,Census Tract 112.03; St. Joseph County; Indiana,7
1400000US18141011303,Census Tract 113.03; St. Joseph County; Indiana,5
1400000US18141011304,Census Tract 113.04; St. Joseph County; Indiana,3
1400000US18141011305,Census Tract 113.05; St. Joseph County; Indiana,4
1400000US18141011306,Census Tract 113.06; St. Joseph County; Indiana,4
1400000US18141011307,Census Tract 113.07; St. Joseph County; Indiana,6
1400000US18141011308,Census Tract 113.08; St. Joseph County; Indiana,3
1400000US18141011309,Census Tract 113.09; St. Joseph County; Indiana,6
1400000US18141011310,Census Tract 113.10; St. Joseph County; Indiana,4
1400000US18141011403,Census Tract 114.03; St. Joseph County; Indiana,3
1400000US18141011404,Census Tract 114.04; St. Joseph County; Indiana,2
1400000US18141011405,Census Tract 114.05; St. Joseph County; Indiana,3
1400000US18141011406,Census Tract 114.06; St. Joseph County; Indiana,3
1400000US18141011501,Census Tract 115.01; St. Joseph County; Indiana,8
1400000US18141011503,Census Tract 115.03; St. Joseph County; Indiana,3
1400000US18141011504,Census Tract 115.04; St. Joseph County; Indiana,5
1400000US18141011505,Census Tract 115.05; St. Joseph County; Indiana,6
1400000US18141011506,Census Tract 115.06; St. Joseph County; Indiana,7
1400000US18141011602,Census Tract 116.02; St. Joseph County; Indiana,4
1400000US18141011603,Census Tract 116.03; St. Joseph County; Indiana,2
1400000US18141011604,Census Tract 116.04; St. Joseph County; Indiana,2
1400000US18141011701,Census Tract 117.01; St. Joseph County; Indiana,5
1400000US18141011703,Census Tract 117.03; St. Joseph County; Indiana,5
1400000US18141011704,Census Tract 117.04; St. Joseph County; Indiana,4
1400000US18141011801,Census Tract 118.01; St. Joseph County; Indiana,2
1400000US18141011803,Census Tract 118.03; St. Joseph County; Indiana,4
1400000US18141011804,Census Tract 118.04; St. Joseph County; Indiana,1
1400000US18141011900,Census Tract 119; St. Joseph County; Indiana,2
1400000US18141012000,Census Tract 120; St. Joseph County; Indiana,4
1400000US18141012100,Census Tract 121; St. Joseph County; Indiana,4
1400000US18141012200,Census Tract 122; St. Joseph County; Indiana,4
1400000US18141012300,Census Tract 123; St. Joseph County; Indiana,4
1400000US18141012400,Census Tract 124; St. Joseph County; Indiana,2
