Date,Vendor Code,Vendor,County,"Notes for ""Other",Order #,Program,Protein LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indiv Meal LBS,Indiv Meals,Total Pounds," 8,093,927.70 ",,,,,,,,
1/6/2023,,Monastery of the Holy Martyrs,St. Joseph,,5304,Backpack,,,,,,,,150,120,150,,,,,,,,,
1/6/2023,,Monastery of the Holy Martyrs,St. Joseph,,5304,CCFN,,,,,100,55,,,,155,,,,,,,,,
1/6/2023,,Monastery of the Holy Martyrs,St. Joseph,,5312,CCFN,,,,,,,70,,,70,,,,,,,,,
1/6/2023,,Monastery of the Holy Martyrs,St. Joseph,,5314,CCFN,,,270,,,,,,,270,,,,,,,,,
1/6/2023,,Monastery of the Holy Martyrs,St. Joseph,,5317,CCFN,315,,30.4,136.3,,,,,,481.7,,,,,,,,,
1/6/2023,,Monastery of the Holy Martyrs,St. Joseph,,5325,CCFN,11.3,,,,78.1,57.5,291,,,437.9,,,,,,,,,
1/6/2023,,Monastery of the Holy Martyrs,St. Joseph,,5362,CCFN,14.5,,,,,40,,,,54.5,,,,,,,,,
1/6/2023,,Monastery of the Holy Martyrs,St. Joseph,,5371,CCFN,,,,,,,35,,,35,,,,,,,,,
1/6/2023,,Monastery of the Holy Martyrs,St. Joseph,,5381,CCFN,,,,,,4,,,,4,,,,,,,,,
1/6/2023,,Oaklawn Properties,St. Joseph,,5329,CCFN,15.8,,,,156.3,77,62,,,311.1,,,,,,,,,
1/6/2023,,Oaklawn Properties,St. Joseph,,5355,CCFN,14.5,,,,0,,,,,14.5,,,,,,,,,
1/9/2023,,CLOSED - South Gate Food Pantry,,,5125,CCFN,,,,,,21.8,93,,,114.8,,,,,,,,,
1/9/2023,,Catholic Charities: South Bend Office,St. Joseph,,5386,CCFN,43.5,,,8,,204,21,,,276.5,,,,,,,,,
1/9/2023,,Lydick United Methodist Church,St. Joseph,,5353,CCFN,,,,,,32,,,,32,,,,,,,,,
1/9/2023,,Lydick United Methodist Church,St. Joseph,,5388,CCFN,,,,,,120,306,,,426,,,,,,,,,
1/9/2023,,Lydick United Methodist Church,St. Joseph,,5390,CCFN,,,,,,,188,,,188,,,,,,,,,
1/11/2023,,AIDS Ministries - AIDS Assist of Northern Indiana,,,4507,CCFN,,,,,,6,,,,6,,,,,,,,,
1/11/2023,,Antioch Missionary Baptist Church,St. Joseph,,5286,CCFN,,,,,,,26,,,26,,,,,,,,,
1/11/2023,,Antioch Missionary Baptist Church,St. Joseph,,5308,CCFN,30,,,,,,,,,30,,,,,,,,,
1/11/2023,,Antioch Missionary Baptist Church,St. Joseph,,5339,CCFN,8,,,,,,,,,8,,,,,,,,,
1/11/2023,,Antioch Missionary Baptist Church,St. Joseph,,5351,CCFN,21.8,,,,,,,,,21.8,,,,,,,,,
1/11/2023,,Antioch Missionary Baptist Church,St. Joseph,,5374,CCFN,,,,,,,155,,,155,,,,,,,,,
1/11/2023,,Antioch Missionary Baptist Church,St. Joseph,,5383,CCFN,,,,,,,136,,,136,,,,,,,,,
1/11/2023,,Antioch Missionary Baptist Church,St. Joseph,,5403,CCFN,,,,4.5,,,,,,4.5,,,,,,,,,
1/11/2023,,Antioch Missionary Baptist Church,St. Joseph,,5447,CCFN,90,,,,,,39,,,129,,,,,,,,,
1/11/2023,,Bread of Life Community FP,LaGrange,,5433,CCFN,,,2.8,31.3,,294.4,1306,,,1634.5,,,,,,,,,
1/11/2023,,Brick of Hope Ministries,,,5416,CCFN,,,1.8,,,,104,,,105.8,,,,,,,,,
1/11/2023,,Brick of Hope Ministries,,,5430,CCFN,171.5,,7.3,23.4,,132,117,,,451.2,,,,,,,,,
1/11/2023,,Broadway Christian Parish,St. Joseph,,5344,CCFN,,,11.9,15,,149.3,117,,,293.2,,,,,,,,,
1/11/2023,,Broadway Christian Parish,St. Joseph,,5422,Backpack,,,,,,,,150,120,150,,,,,,,,,
1/11/2023,,Broadway Christian Parish,St. Joseph,,5422,CCFN,,,,,,,21,,,21,,,,,,,,,
1/11/2023,,Community Food Pantry of New Carlisle,,,5268,CCFN,26,,,,,60,,,,86,,,,,,,,,
1/11/2023,,Community Food Pantry of New Carlisle,,,5384,CCFN,,,,,,,40,,,40,,,,,,,,,
1/11/2023,,Community Food Pantry of New Carlisle,,,5417,CCFN,,,21.9,,,,,,,21.9,,,,,,,,,
1/11/2023,,David's Courage,,,5318,CCFN,,,,,13,42,,,,55,,,,,,,,,
1/11/2023,,David's Courage,,,5402,CCFN,,,,,,7.5,,,,7.5,,,,,,,,,
1/11/2023,,Lydick United Methodist Church,St. Joseph,,5394,CCFN,116,,,,,,,,,116,,,,,,,,,
1/11/2023,,Lydick United Methodist Church,St. Joseph,,5436,CCFN,78,,,,0,,9,,,87,,,,,,,,,
1/11/2023,,Lydick United Methodist Church,St. Joseph,,5444,CCFN,12,,,,,,,,,12,,,,,,,,,
