County,Public,School,Cultivate support ,% Free/Reduced,Total Enrollment,Cultivate annual meals,County food insecure applied,Food insecure by 10 month school year,Potential missing?,,,,
St. Joseph,Public,Juvenile Justice Center,N,36,11,,2,,,,,,
St. Joseph,Public,Kennedy Academy,N,50,443,,69,,,,,,
St. Joseph,Public,Lafayette Early Childhood Center,N,67,6,,1,,,,,,
St. Joseph,Public,Lancer Virtual School,N,69,26,,4,,,,,,
St. Joseph,Public,LaSalle Academy,N,42,461,,72,,,,,,
St. Joseph,Public,Lasalle Elementary School (Mishawaka),N,43,519,,81,,,,,,
St. Joseph,Public,LaVille Elementary School,Y,54,649,2064,101,24240,22176,,,,
St. Joseph,Public,LaVille Jr-Sr High School,N,51,546,,85,,,,,,
St. Joseph,Public,Liberty Elementary School (Mishawaka),N,38,446,,70,,,,,,
St. Joseph,Public,Lincoln Elementary School (South Bend),N,72,383,,60,,,,,,
Marshall,Public,Lincoln Junior High School (Plymouth),N,57,498,,69,,,,,,
St. Joseph,Public,Madison Elementary School (PHM),Y,38,117,,18,,,,,,
St. Joseph,Public,Madison S.T.E.A.M. Academy,N,80,431,,67,,,,,,
St. Joseph,Private,Marian High School,N,,,,,,,,,,
St. Joseph,Public,Marquette Montessori Academy,N,50,431,,67,,,,,,
St. Joseph,Public,Marshall Traditional School,Y,47,400,9426,62,14880,5454,,,,
Elkhart,Public,Mary Beck Elementary School,Y,55,385,,56,,,,,,
Elkhart,Public,Mary Daly Elementary School,Y,64,476,,69,,,,,,
Elkhart,Public,Mary Feeser Elementary School,Y,52,470,,68,,,,,,
St. Joseph,Public,Mary Frank Harris Elementary School,N,19,471,,73,,,,,,
St. Joseph,Public,McKinley Elementary School (South Bend),N,2,315,,49,,,,,,
Elkhart,Private,Meadow Valley School,N,,,,,,,,,,
St. Joseph,Public,Meadow's Edge Elementary School,N,63,382,,60,,,,,,
Marshall,Public,Menominee Elementary School,N,46,379,,53,,,,,,
St. Joseph,Private,Michiana Christian School,N,,,,,,,,,,
Elkhart,Public,Middlebury Elementary School,N,41,211,,31,,,,,,
Elkhart,Public,Millersburg Elementary-Middle School,N,22,296,,43,,,,,,
St. Joseph,Private,Mishawaka Catholic School (St. Joseph Campus & Middle Campus),N,,,,,,,,,,
St. Joseph,Public,Mishawaka High School,N,31,1327,,207,,,,,,
Elkhart,Public,Model Elementary School,Y,65,474,,69,,,,,,
Elkhart,Public,Monger Elementary School,Y,67,394,,57,,,,,,
St. Joseph,Public,Monroe Elementary School,N,68,519,,81,,,,,,
St. Joseph,Private,Montessori Academy at Edison Lakes,N,,,,,,,,,,
Elkhart,Private,Montessori School of Elkhart,N,,,,,,,,,,
St. Joseph,Public,Moran Elementary School,N,42,389,,61,,,,,,
Elkhart,Private,Morning Star Academy,N,,,,,,,,,,
St. Joseph,Public,Muessel Elementary School,N,69,295,,46,,,,,,
Elkhart,Public,Nappanee Elementary School,Y,49,378,,55,,,,,,
St. Joseph,Public,Navarre Middle School,Y,79,378,,59,,,,,,
Marshall,Private,New Burlington Amish School,N,,,,,,,,,,
Elkhart,Public,New Paris Elementary School,N,26,488,,71,,,,,,
St. Joseph,Public,New Prairie High School,N,35,945,,147,,,,,,
St. Joseph,Public,New Prairie Middle School,N,41,667,,104,,,,,,
St. Joseph,Private,New Vision Christian Academy,N,,,,,,,,,,
St. Joseph,Private,North Liberty Christian School,N,,,,,,,,,,
St. Joseph,Public,North Liberty School,N,50,474,,74,,,,,,
Elkhart,Public,North Side Middle School (Elkhart),Y,57,563,,82,,,,,,
Elkhart,Public,North Wood High School,N,35,873,,127,,,,,,
Elkhart,Public,North Wood Middle School,Y,37,653,,95,,,,,,
Elkhart,Private,Northern Maple Christian School,N,,,,,,,,,,
St. Joseph,Public,Northpoint Elementary School,N,14,577,,90,,,,,,
Elkhart,Public,Northridge High School,N,27,1331,,193,,,,,,
Elkhart,Public,Northridge Middle School,Y,34,963,636,140,33600,32964,,,,
St. Joseph,Private,Notre Dame Early Childhood Development Center,N,,,,,,,,,,
St. Joseph,Public,Nuner Fine Arts Academy,Y,63,489,,76,,,,,,
St. Joseph,Private,Oak Grove School,N,,,,,,,,,,
St. Joseph,Public,Oaklawn Campus Program,N,100,56,,9,,,,,,
Elkhart,Private,Old Order Garden Spot School,N,,,,,,,,,,
St. Joseph,Public,Olive Township Elementary School,N,37,495,,77,,,,,,
Elkhart,Public,Orchard View School,N,34,345,,50,,,,,,
Elkhart,Public,Osolo Elementary School,N,58,452,,66,,,,,,
St. Joseph,Private,Our Lady of Hungary School,N,,,,,,,,,,
St. Joseph,Private,Paramount,Y,,,,,,,,,,
Elkhart,Public,Parkside Elementary School (Goshen),Y,67,334,,48,,,,,,
St. Joseph,Private,Peace Lutheran School,N,,,,,,,,,,
St. Joseph,Public,Penn High School,N,31,3687,,575,,,,,,
Elkhart,Public,Pierre Moran Middle School,Y,60,396,,57,,,,,,
Elkhart,Private,Pine View School,N,,,,,,,,,,
Elkhart,Public,Pinewood Elementary School,Y,53,503,,73,,,,,,
Marshall,Private,Pleasant View School,N,,,,,,,,,,
Marshall,Public,Plymouth High School,Y,53,1034,,144,,,,,,
Elkhart,Public,Prairie View Elementary School (Goshen),Y,72,415,,60,,,,,,
St. Joseph,Public,Prairie Vista Elementary School,Y,21,513,,80,,,,,,
Elkhart,Private,Premier Art Academy,Y,,,,,,,,,,
Elkhart,Private,Pride @ Beck,Y,,,,,,,,,,
Elkhart,Private,Pumpkinvine School,N,,,,,,,,,,
St. Joseph,Private,Queen of Peace School,N,,,,,,,,,,
Elkhart,Private,Railside School,N,,,,,,,,,,
St. Joseph,Private,Resurrection Lutheran Academy,Y,,,,,,,,,,
St. Joseph,Public,Riley High School,N,57,1238,,193,,,,,,
St. Joseph,Public,Rise Up Academy at Eggleston,N,67,149,,23,,,,,,
Marshall,Public,Riverside Intermediate (Plymouth),N,62,450,,63,,,,,,
Elkhart,Public,Riverview Elementary School,Y,57,439,,64,,,,,,
Elkhart,Private,Rolling Acres School,N,,,,,,,,,,
Marshall,Private,Rolling Meadow School,N,,,,,,,,,,
St. Joseph,Public,Rolling Prairie Elementary School,N,51,414,,65,,,,,,
Elkhart,Public,Roosevelt STEAM Academy,N,57,531,,77,,,,,,
St. Joseph,Private,Saint Joseph High School,N,,,,,,,,,,
St. Joseph,Public,Schmucker Middle School,N,40,1041,,162,,,,,,
Marshall,Private,South Beech School,N,,,,,,,,,,
St. Joseph,Private,South Bend Hebrew Day School,N,,,,,,,,,,
St. Joseph,Private,South Bend Junior Academy,N,,,,,,,,,,
St. Joseph,Public,South Bend Virtual School,N,28,291,,45,,,,,,
St. Joseph,Private,St. Adalbert School,N,,,,,,,,,,
St. Joseph,Private,St. Anthony de Padua School,N,,,,,,,,,,
St. Joseph,Private,St. John the Baptist School,N,,,,,,,,,,
Elkhart,Private,St. John the Evangelist School,N,,,,,,,,,,
St. Joseph,Private,St. Joseph Grade School,N,,,,,,,,,,
St. Joseph,Private,St. Matthew Cathedral School,N,,,,,,,,,,
Marshall,Private,St. Michael School,N,,,,,,,,,,
Marshall,Private,"St. Pauls Lutheran School, Bremen",N,,,,,,,,,,
St. Joseph,Private,St. Pius X School,N,,,,,,,,,,
Elkhart,Private,St. Thomas the Apostle School,N,,,,,,,,,,
Elkhart,Private,St. Vincent de Paul School,Y,,,,,,,,,,
Elkhart,Private,Stoney Creek School,N,,,,,,,,,,
St. Joseph,Private,Success Academy,N,,,,,,,,,,
St. Joseph,Public,Swanson Traditional School,Y,34,399,846,62,14880,14034,,,,
St. Joseph,Private,The Stanley Clark School,N,,,,,,,,,,
Elkhart,Private,Timber View School,N,,,,,,,,,,
Elkhart,Private,Trinity Lutheran School,N,,,,,,,,,,
St. Joseph,Private,Trinity School at Greenlawn,N,,,,,,,,,,
Marshall,Public,Triton Elementary School,N,51,517,,72,,,,,,
Marshall,Public,Triton Jr-Sr High School,N,43,414,,58,,,,,,
St. Joseph,Public,Twin Branch Elementary School,N,38,300,,47,,,,,,
Elkhart,Private,United Christian School,N,,,,,,,,,,
St. Joseph,Public,Virgil I Grissom Middle School,N,51,662,,103,,,,,,
Elkhart,Private,Wabash School,N,,,,,,,,,,
Elkhart,Public,Wakarusa Elementary School,Y,33,534,,77,,,,,,
St. Joseph,Public,Walkerton Elementary School,Y,61,589,3384,92,22080,18696,,,,
St. Joseph,Public,Walt Disney Elementary School,N,61,512,,80,,,,,,
Marshall,Public,Washington Discovery Academy,N,47,257,,36,,,,,,
St. Joseph,Public,Washington High School,N,65,795,,124,,,,,,
Elkhart,Public,Waterford Elementary School,Y,61,400,,58,,,,,,
Marshall,Public,Webster Elementary School,N,48,310,,43,,,,,,
Elkhart,Private,Weldy School,N,,,,,,,,,,
Elkhart,Public,West Goshen Elementary School,Y,63,387,,56,,,,,,
Elkhart,Public,West Side Middle School,N,55,569,,83,,,,,,
St. Joseph,Public,Wilson Elementary School,Y,70,374,,58,,,,,,
Elkhart,Public,Woodland Elementary School,Y,62,429,,62,,,,,,
Elkhart,Private,Woodlawn Christian School,N,,,,,,,,,,
Elkhart,Public,Woodview Elementary School,Y,46,410,,59,,,,,,
St. Joseph,Private,Yeshiva of South Bend,N,,,,,,,,,,
Elkhart,Public,York Elementary School,N,42,260,,38,,,,,,
